#coordinates: (min_x, min_y, max_x, max_y)
car_bmw(24) : (219.52340954138825, -79.67070412386146, 221.36197048020873, -74.08782898108409)
car_bmw(25) : (223.01498243290231, -38.60717635393571, 224.7450175461972, -33.05716540881074)
car_bmw(26) : (204.23801139851818, -77.28317482901326, 206.0766150673346, -71.7002871286767)
car_bmw(27) : (196.9680113985182, -87.81317482901326, 198.8066150673346, -82.23028712867671)
car_bmw(28) : (305.7534245278967, -66.88591471875141, 311.30343370935685, -65.15588526355158)
car_bmw(29) : (255.1234245278967, -67.37561471875141, 260.67343370935686, -65.64558526355158)
car_bmw(30) : (204.54801139852034, 33.156825170996235, 206.38661506733254, 38.73971287133154)
car_bmw(31) : (207.9880113985195, 62.55692517099193, 209.82661506733345, 68.13981287132775)
car_bmw(32) : (144.07202673735011, -2.5805933595696673, 149.6855088362814, -0.6346098625686296)
car_bmw(33) : (167.4742973875789, 6.755399597155739, 173.02990744720043, 8.503482598759017)
car_bmw(34) : (35.89449476989862, -69.41537248769937, 41.50797185186618, -67.46940717481412)
car_bmw(35) : (145.45342452789666, -69.2253147187514, 151.00343370935687, -67.49528526355158)
car_bmw(36) : (131.0933917635961, -27.79051044320938, 132.93198357134153, -22.207626228592883)
car_bmw(37) : (46.3250971695155, 44.45656999941919, 48.05510282830427, 50.006571763327315)
car_bmw(38) : (65.29212673734835, 41.459596640429844, 70.9056088362799, 43.405580137431876)
car_bmw(39) : (153.4344940931803, 42.593926076788186, 159.04797211661193, 44.539894802019084)
car_bmw(40) : (19.342026737349833, 3.9897366404302983, 24.95550883628114, 5.935720137431451)
car_bmw(41) : (80.03202673734705, -2.6104033595705176, 85.6455088362788, -0.6644198625677745)
car_CitroenCZero(1) : (-7.189877475038132, -16.701205979100372, -5.589862288430768, -13.00119941194415)
car_CitroenCZero(2) : (-23.690133941745245, 22.12130104301225, -22.090126300098852, 25.82130434750157)
car_CitroenCZero(3) : (-15.810133941745242, 27.75130104301225, -14.210126300098835, 31.45130434750158)
car_CitroenCZero(4) : (-14.810133941745239, 40.23130104301226, -13.210126300098825, 43.93130434750159)
car_CitroenCZero(5) : (-45.67130577126256, 3.9299127764252875, -41.9712996209773, 5.529926999011351)
car_CitroenCZero(6) : (-3.629887475038145, -40.92130597910036, -2.029872288430771, -37.22129941194414)
car_CitroenCZero(7) : (-19.910233941745236, -54.13869895698774, -18.31022630009883, -50.43869565249841)
car_CitroenCZero(8) : (-23.630233941745246, -88.52869895698772, -22.03022630009884, -84.82869565249838)
car_CitroenCZero(9) : (8.611001988204654, -103.92987152002797, 12.31100340326507, -102.32986824769804)
car_CitroenCZero(10) : (140.0013019882046, -99.91987152002798, 143.701303403265, -98.31986824769805)
car_CitroenCZero(11) : (101.98130198820466, -96.22007152002794, 105.68130340326506, -94.62006824769804)
car_CitroenCZero(12) : (-3.0702174750380986, -153.65130597910039, -1.4702022884307735, -149.95129941194418)
car_CitroenCZero(13) : (-11.530177475038109, -145.64130597910037, -9.930162288430772, -141.94129941194416)
car_CitroenCZero(14) : (152.25869447347742, -111.18113665810013, 155.95870013436235, -109.58112356726015)
car_CitroenCZero(15) : (170.93869447347737, -115.29013665810011, 174.6387001343623, -113.69012356726019)
car_CitroenCZero(16) : (128.29869447347738, -111.35013665810011, 131.9987001343623, -109.75012356726019)
car_CitroenCZero(17) : (212.12012252496183, -143.42130597910037, 213.7201377115692, -139.72129941194416)
car_CitroenCZero(18) : (223.3601225249618, -148.88130597910038, 224.9601377115692, -145.18129941194417)
car_CitroenCZero(19) : (215.60012252496182, -153.78230597910039, 217.2001377115692, -150.08229941194418)
car_CitroenCZero(20) : (258.7913019882046, 3.6594184799719693, 262.4913034032651, 5.2594217523019475)
car_CitroenCZero(21) : (314.8086944734775, -8.640936658100133, 318.5087001343624, -7.040923567260165)
car_CitroenCZero(22) : (324.6413019882047, 4.509258479971988, 328.34130340326516, 6.109261752301954)
car_CitroenCZero(23) : (211.5001225249619, -39.98190597910036, 213.1001377115693, -36.28189941194414)
car_CitroenCZero(24) : (212.51012252496184, -86.73190597910038, 214.11013771156922, -83.03189941194414)
car_CitroenCZero(25) : (215.98012252496184, -18.49180597910037, 217.58013771156922, -14.79179941194414)
car_CitroenCZero(26) : (200.58986605825473, -87.16919895698774, 202.18987369990114, -83.46919565249843)
car_CitroenCZero(27) : (204.80986605825478, -65.16919895698774, 206.4098736999012, -61.46919565249841)
car_CitroenCZero(28) : (266.96130198820464, -39.790571520028, 270.6613034032651, -38.190568247698046)
car_CitroenCZero(29) : (271.34869447347745, -67.27093665810013, 275.0487001343624, -65.67092356726017)
car_CitroenCZero(30) : (201.35985738287656, 18.990797289495546, 202.9598823875059, 22.690808102239536)
car_CitroenCZero(31) : (215.6801225249619, 33.69819402089964, 217.2801377115692, 37.39820058805585)
car_CitroenCZero(32) : (166.32130198820465, 3.1897284799720143, 170.02130340326505, 4.789731752301936)
car_CitroenCZero(33) : (145.26130198820465, 0.3797584799720103, 148.96130340326505, 1.9797617523019322)
car_CitroenCZero(34) : (109.69869447347739, -65.97033665810014, 113.39870013436234, -64.37032356726016)
car_CitroenCZero(35) : (116.47869447347739, -69.09043665810015, 120.17870013436234, -67.49042356726017)
car_CitroenCZero(36) : (127.58012252496188, -25.291605979100378, 129.18013771156924, -21.591599411944156)
car_CitroenCZero(37) : (47.20006605825477, 60.21120104301226, 48.800073699901155, 63.911204347501574)
car_CitroenCZero(38) : (95.04022252496185, 71.10849402089963, 96.64023771156926, 74.80850058805586)
car_CitroenCZero(39) : (125.13130198820465, 39.969828479972, 128.83130340326508, 41.569831752301944)
car_CitroenCZero(40) : (11.57130198820465, 3.1901384799719925, 15.271303403265074, 4.790141752301944)
car_CitroenCZero(41) : (29.66130198820466, -5.949901520027996, 33.36130340326508, -4.349898247698054)
car_lincolnMKZ(1) : (-19.090002648913398, 29.358059464718206, -17.08999734701225, 34.558061503908654)
car_lincolnMKZ(2) : (-19.710002648913406, 47.76805946471819, -17.70999734701225, 52.96806150390864)
